X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.294444,6.048889,train,2.7009087123188325E-4,24.258454389358548,0.2988221726486229
-74.473444,6.262694,train,0.001763945974903713,67.52644890321176,0.9015731018109143
-74.368611,6.438056,train,4.950052238609928E-4,34.507700125685574,0.4782724536905585
-74.900639,5.568667,train,1.9813203465927416E-4,18.856367652161953,0.2292681037589156
-74.816917,4.42425,train,1.353491465461951E-4,13.857624920029417,0.1629705768200591
-74.591222,6.190222,train,0.0012448820317170286,58.57651742574896,0.8052833446310449
-74.668706,5.574697,train,0.002163698759493233,75.03611602347686,0.941799186643728
-74.909722,5.559361,train,0.0069211786033131426,93.2142225779743,0.9998879814695462
-74.368611,6.438056,train,4.950052238609928E-4,34.507700125685574,0.4782724536905585
-74.591222,6.190222,train,0.0012448820317170286,58.57651742574896,0.8052833446310449
-74.777528,5.638694,train,0.0015201187634246323,63.12764447696343,0.8643893046143085
-74.223111,5.967972,train,5.655046702292097E-4,37.52024210391201,0.5244440162113944
-74.591222,6.190222,train,0.0012448820317170286,58.57651742574896,0.8052833446310449
-74.859417,5.545194,train,0.0020583125980231406,74.40472315203006,0.9331525232855599
-74.816917,4.42425,train,1.353491465461951E-4,13.857624920029417,0.1629705768200591
-74.859417,5.545194,train,0.0020583125980231406,74.40472315203006,0.9331525232855599
-74.885833,5.407444,train,0.002938480644635743,80.51912649473736,0.9789780884324365
-74.816917,4.42425,train,1.353491465461951E-4,13.857624920029417,0.1629705768200591
-74.473444,6.262694,train,0.001763945974903713,67.52644890321176,0.9015731018109143
-74.668706,5.574697,train,0.002163698759493233,75.03611602347686,0.941799186643728
-74.909722,5.559361,train,0.0069211786033131426,93.2142225779743,0.9998879814695462
