X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.591222,6.190222,train,0.002333600686172565,79.89259352927094,0.9516672239391588
-74.406389,6.273889,train,0.0021218056069268075,75.23218536950908,0.9363704957580119
-74.737583,5.667167,train,6.176055668047286E-4,36.484697058165935,0.5514877123352833
-74.854444,5.322778,train,5.359358298775681E-4,32.939915147020244,0.5013195531940544
-74.76675,5.676306,train,0.0010348464369037285,50.35301258652894,0.7390720046804565
-74.406389,6.273889,train,0.0021218056069268075,75.23218536950908,0.9363704957580119
-74.737889,5.684417,train,4.907654970225724E-4,30.945999032204355,0.47120077534084803
-74.737889,5.684417,train,4.907654970225724E-4,30.945999032204355,0.47120077534084803
-74.223111,5.967972,train,5.154150934332557E-4,31.958671809324287,0.4878554169429168
-74.737889,5.684417,train,4.907654970225724E-4,30.945999032204355,0.47120077534084803
-74.294444,6.048889,train,4.1798252291081833E-4,27.711558494723295,0.4187965755166585
-74.737583,5.667167,train,6.176055668047286E-4,36.484697058165935,0.5514877123352833
-74.406389,6.273889,train,0.0021218056069268075,75.23218536950908,0.9363704957580119
-74.668706,5.574697,train,0.0019056087152925553,71.87145020652241,0.9157524615186511
-74.591222,6.190222,train,0.002333600686172565,79.89259352927094,0.9516672239391588
-74.294444,6.048889,train,4.1798252291081833E-4,27.711558494723295,0.4187965755166585
-74.406389,6.273889,train,0.0021218056069268075,75.23218536950908,0.9363704957580119
-74.406389,6.273889,train,0.0021218056069268075,75.23218536950908,0.9363704957580119
-74.737889,5.684417,train,4.907654970225724E-4,30.945999032204355,0.47120077534084803
-74.103194,6.515417,train,7.136571216503488E-4,40.23008353222782,0.6040708976630957
-74.76675,5.676306,train,0.0010348464369037285,50.35301258652894,0.7390720046804565
