"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_3_F_lqp_Set_1",1.95454796749851,0,0,447.843065867209,8.49673601494419,0.00068870744450358,3
"M_4_F_l_Set_1",1.95464095452317,0,0,447.742938486115,8.39660863385012,0.000760156039148809,2
"M_4_F_q_Set_1",1.95393346340848,0,0,444.980035518514,5.63370566624917,0.00317710150499031,3
"M_4_F_p_Set_1",1.89705014042273,0,0,467.027076401442,27.6807465491769,5.47379552302797e-08,4
"M_4_F_lq_Set_1",1.95677472321168,0,0,444.410424746779,5.06409489451403,0.00470398247294882,3
"M_4_F_lp_Set_1",1.9367069574048,0,0,456.006360854052,16.660031001787,1.51678342127624e-05,3
"M_4_F_qp_Set_1",1.95365412323463,0,0,450.172171541214,10.8258416889487,0.000299145611360475,2
"M_4_F_lqp_Set_1",1.95524011488534,0,0,449.571895928232,10.225566075967,0.000432718057218858,2
"M_5_F_l_Set_1",1.95223166822253,0,0,451.106389793314,11.7600599410489,0.000216421140758294,2
"M_5_F_q_Set_1",1.95685528253549,0,0,444.359016458758,5.01268660649259,0.00680009751993363,2
"M_5_F_p_Set_1",1.87125609713439,0,0,473.944859402283,34.5985295500184,2.79149323330646e-09,4
"M_5_F_lq_Set_1",1.9574959069826,0,0,443.821760667708,4.47543081544325,0.0105629606712341,2
"M_5_F_lp_Set_1",1.93122358496054,0,0,461.820273660554,22.4739438082888,1.44787270031019e-06,3
"M_5_F_qp_Set_1",1.95526643409908,0,0,455.150664685988,15.8043348337234,4.56609619063574e-05,2
"M_5_F_lqp_Set_1",1.95648065932153,0,0,454.45534836588,15.1090185136152,7.37413908864036e-05,2
