X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.777222,5.689444,train,0.0016426876644832745,74.71075285443207,0.935372178529564
-74.76675,5.676306,train,0.0011542164883226239,63.773066451733506,0.8540667321225865
-74.103194,6.515417,train,6.775520802593291E-4,46.551665445732795,0.6768984622725207
-74.223111,5.967972,train,6.543577717709471E-4,45.6307349642569,0.6641575559489316
-74.223111,5.967972,train,6.543577717709471E-4,45.6307349642569,0.6641575559489316
-74.351933,6.471417,train,0.0019618235594436673,82.16770224546616,0.962041260922614
-74.777222,5.689444,train,0.0016426876644832745,74.71075285443207,0.935372178529564
-74.777222,5.689444,train,0.0016426876644832745,74.71075285443207,0.935372178529564
-74.323667,6.515028,train,7.211452829209029E-4,48.00646863090405,0.6995513488703617
-74.668706,5.574697,train,0.0018855651127072728,80.42898547403975,0.9568942067715709
-74.76675,5.676306,train,0.0011542164883226239,63.773066451733506,0.8540667321225865
-74.103194,6.515417,train,6.775520802593291E-4,46.551665445732795,0.6768984622725207
-74.351933,6.471417,train,0.0019618235594436673,82.16770224546616,0.962041260922614
-74.816917,4.42425,train,1.514355882994508E-4,14.986246075322375,0.22315331289453844
-74.294444,6.048889,train,4.232866510411297E-4,33.48156229972498,0.5062925255787367
-74.885833,5.407444,train,0.0010326202496161354,60.69168998809766,0.8212647087885196
-74.885833,5.407444,train,0.0010326202496161354,60.69168998809766,0.8212647087885196
-74.323667,6.515028,train,7.211452829209029E-4,48.00646863090405,0.6995513488703617
-74.103194,6.515417,train,6.775520802593291E-4,46.551665445732795,0.6768984622725207
-74.737889,5.684417,train,5.002960351184604E-4,37.30001170837681,0.5657877874110333
-74.368611,6.438056,train,6.34054266277865E-4,44.70637235614378,0.6525928807739427
