X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.909722,5.559361,train,0.006129736004368982,96.1768534063065,0.9995396798999963
-74.473444,6.262694,train,0.002561018022562875,78.1136571051295,0.9596523126466532
-74.368611,6.438056,train,0.001370258362821128,58.59469331124967,0.8205055320241537
-74.668706,5.574697,train,0.001982123387384287,69.29266713906114,0.9166394531821914
-74.737583,5.667167,train,3.930916566193855E-4,26.70454559622298,0.3890487474117822
-74.473444,6.262694,train,0.002561018022562875,78.1136571051295,0.9596523126466532
-74.351933,6.471417,train,0.004021861878532153,90.21347497737345,0.9935351823969396
-74.368611,6.438056,train,0.001370258362821128,58.59469331124967,0.8205055320241537
-74.406389,6.273889,train,0.0019828855734332334,69.41460106079872,0.9167190574640471
-74.591222,6.190222,train,0.0018491829597437218,67.14956665088003,0.9015237708349072
-74.223111,5.967972,train,5.31990105624029E-4,32.27964728486328,0.4866752043397098
-74.859417,5.545194,train,0.0013875591484619535,59.34750258447058,0.8243562222106029
-74.368611,6.438056,train,0.001370258362821128,58.59469331124967,0.8205055320241537
-74.737889,5.684417,train,2.4906495638804413E-4,19.562093467217725,0.2681659326577337
-74.368611,6.438056,train,0.001370258362821128,58.59469331124967,0.8205055320241537
-74.737583,5.667167,train,3.930916566193855E-4,26.70454559622298,0.3890487474117822
-74.323667,6.515028,train,0.0010908122992775078,51.859100450641066,0.7452128720363246
-74.885833,5.407444,train,0.0020459301449615025,70.36043881567495,0.9230470852491334
-74.777222,5.689444,train,0.0010946976046365034,52.0774212301519,0.7464507215241634
-74.737583,5.667167,train,3.930916566193855E-4,26.70454559622298,0.3890487474117822
-74.777528,5.638694,train,0.0012094502392707253,54.22907664867687,0.7804200427208251
