X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.859417,5.545194,train,0.0013900074869769932,72.56932150370116,0.9137688025432492
-74.900639,5.568667,train,1.3045401717707615E-4,15.24871253121067,0.20546923870543188
-74.777222,5.689444,train,0.0013665531593027777,71.3330296980126,0.9101281852579776
-74.885833,5.407444,train,0.0014523702491322308,74.1343010739984,0.9227474288504975
-74.777222,5.689444,train,0.0013665531593027777,71.3330296980126,0.9101281852579776
-74.854444,5.322778,train,9.177409246477275E-4,57.997022322604124,0.8017189312127506
-74.854444,5.322778,train,9.177409246477275E-4,57.997022322604124,0.8017189312127506
-74.777528,5.638694,train,0.0015627593642837483,76.22695941221856,0.9364102008577847
-74.351933,6.471417,train,0.0013737121252208131,71.87913998120182,0.9112554164357114
-74.737583,5.667167,train,6.049907899775927E-4,47.49119365676205,0.6558438215545301
-74.816917,4.42425,train,1.949557335107028E-4,21.27788769428646,0.29087722471400834
-74.737889,5.684417,train,4.0807336281579163E-4,36.75259377905027,0.5129918657998087
-74.294444,6.048889,train,3.364890837556287E-4,31.51323679454885,0.4474791766814451
-74.473444,6.262694,train,0.0016456160952046089,78.64302493717217,0.945053042987017
-74.777222,5.689444,train,0.0013665531593027777,71.3330296980126,0.9101281852579776
-74.368611,6.438056,train,4.6278619394933096E-4,40.1666347056399,0.557775977538014
-74.103194,6.515417,train,3.868875163548145E-4,35.100359944400346,0.49445674301658915
-74.668706,5.574697,train,0.0018562185333943183,81.2578495025111,0.9620960630302188
-74.737889,5.684417,train,4.0807336281579163E-4,36.75259377905027,0.5129918657998087
-74.473444,6.262694,train,0.0016456160952046089,78.64302493717217,0.945053042987017
-74.668706,5.574697,train,0.0018562185333943183,81.2578495025111,0.9620960630302188
