Predictor variable,Categorical,Sample average
bio_1,false,27.117460432506743
bio_12,false,2363.2380952380954
bio_14,false,76.23809523809524
bio_15,false,39.766019730340865
bio_3,false,87.14491780598958
bio_4,false,38.76010268075125
bio_7,false,11.56190418061756
